long,lat,id,nombre,calle,altura,calle2,direccion,telefonos,observaciones,observaciones_2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.373244712194065,-34.601906174962252,1,Comisaria Vecinal 1-D,Lavalle,451,,LAVALLE 451,4322-8033/8221,,,SAN NICOLAS,1,1047,C1047AAI
-58.42492623842034,-34.628641041650802,37,Comisaria Vecinal 5-B,Muñiz,1250,,MUÑIZ 1250,4922-1229 /4922-3333,,,BOEDO,5,1255,C1255ACD
-58.439501432968669,-34.608978570123014,39,Comisaria Vecinal 6-A,Diaz Velez,5152,,DIAZ VELEZ AV. 5152,4982-4509/4520,,,CABALLITO,6,1405,C1405DCT
-58.448087212589748,-34.626779912319897,8,Comisaria Vecinal 7-B,Valle,1454,,VALLE 1454,4432-3334/3922,"Ubicada en comuna 6, dependencia comuna 7",,CABALLITO,6,1406,C1406GTH
-58.453221042358265,-34.620382265669122,38,Comisaria Comunal 6,Avellaneda,1548,,AVELLANEDA AV. 1548,4632-9051/9129,,,CABALLITO,6,1406,C1406FYN
-58.380178018988076,-34.594642912257243,10,Comisaria Comunal 1,Suipacha,1156,,SUIPACHA 1156,4393-0076/3333/7058,,,RETIRO,1,1008,C1008AAX
-58.385607772884626,-34.622670050365095,43,Comisaria Vecinal 1-C (edificio anexo),San Jose,1224,,SAN JOSE 1224,4306-3333/4067,,,CONSTITUCION,1,1136,C1136AAB
-58.392358576820591,-34.591136945873416,11,Comisaria Comunal 2,Las Heras Gral.,1861,,LAS HERAS GENERAL AV. 1861,4801-1698/3333,,,RECOLETA,2,1127,C1127AAA
-58.390748668282605,-34.622586758775967,42,Comisaria Vecinal 1-C,Av. San Juan,1757,,SAN JUAN AV. 1757,4304-3203/4300 /4305-3333,,,CONSTITUCION,1,1148,C1148AAF
-58.406719292030168,-34.594078522593456,29,Comisaria Vecinal 2-B,Charcas,2844,,CHARCAS 2844,4822-3333/6311,,,RECOLETA,2,1425,C1425BMH
-58.374147124084473,-34.620278488628998,2,Comisaria Vecinal 1-B (edificio anexo),Peru,1056,,PERU 1056,4307-0537/4361 -8054 /66,,,SAN TELMO,1,1068,C1068AAL
-58.403226626979396,-34.626032231837875,41,Comisaria Vecinal 3-B,Catamarca,1345,,CATAMARCA 1345,4941-3333/4079,,,SAN CRISTOBAL,3,1246,C1246AAC
-58.41592730316615,-34.58773209769253,34,Comisaria Vecinal 14-A,Julian alvarez,2373,,"ALVAREZ, JULIAN 2373",4821-5056 / 4823-3333,,,PALERMO,14,1425,C1425DHI
-58.363990210472046,-34.624279357208245,40,Comisaria Vecinal 1-E,Av. Ing. Huergo,1500,,"HUERGO, ING. AV. 1500",,,,PUERTO MADERO,1,1107,C1107APO
-58.360587582793428,-34.634169207037779,12,Comisaria Vecinal 4-C,Pinzon,456,,PINZON 456,4361-4444 /4362-6875,,,BOCA,4,1161,C1161ACJ
-58.374908589749083,-34.638062721131121,13,Comisaria Vecinal 4-D (edificio anexo),Montes de Oca,861,,"MONTES DE OCA, MANUEL 861",4301-3333,,,BARRACAS,4,1270,C1270AAI
-58.441084301406413,-34.599320559247566,45,Comisaria Vecinal 15-B,Camargo,645,,CAMARGO 645,4854-1747 / 4855-3333,,,VILLA CRESPO,15,1414,C1414AHM
-58.388895878431178,-34.601939737721302,3,Comisaria Vecinal 1-A,Tucuman,1560,,TUCUMAN 1560,4371-3333 /4373-6194/4374-0454,,,SAN NICOLAS,1,1050,C1050AAF
-58.374727291620523,-34.647284050292029,15,Comisaria Vecinal 4-D,California,1850,,CALIFORNIA 1850,4300-6338 / 4307-4644/5153,,,BARRACAS,4,1289,C1289AAL
-58.438955799815417,-34.5733085675013,32,Comisaria Vecinal 14-B,Cabildo,232,,CABILDO AV. 232,4771-3333 /4773-3315,,,PALERMO,14,1426,C1426AAP
-58.456284813714497,-34.560144769127078,17,Comisaria Vecinal 13-C,Mendoza,2263,,MENDOZA 2263,4781-3333/8936/4784-0651,,,BELGRANO,13,1428,C1428DKK
-58.41715600739127,-34.644794741939982,47,Comisaria Vecinal 4-B,Quilmes,456,,QUILMES 456,4911-4444/5506,,,NUEVA POMPEYA,4,1437,C1437DLJ
-58.463326627139544,-34.551375504949043,18,Comisaria Vecinal 13-B,Cuba,3145,,CUBA 3145,4701-9168 /4702-3337/4703-3333,,,NUÑEZ,13,1429,C1429AXG
-58.454266937896904,-34.677357513763219,19,Comisaria Vecinal 8-B,Escalada Av.,4347,,ESCALADA AV. 4347,,,,VILLA SOLDATI,8,,
-58.47582109143319,-34.573116280337935,33,Comisaria Vecinal 12-C,Juramento,4367,,JURAMENTO 4367,4544-3330/4747,,,VILLA URQUIZA,12,1430,C1430BSU
-58.458256002822004,-34.630923532550966,48,Comisaria Comunal 7,Av. Cnel Esteban Bonorino,258,,"BONORINO, ESTEBAN, Cnel. AV. 258",4631-3333/7827,,,FLORES,7,1406,C1406DMF
-58.490057408933467,-34.578689469505257,49,Comisaria Vecinal 12-B,Olazabal,5437,,OLAZABAL AV. 5437,4521-0028/ 4522-3333,,,VILLA URQUIZA,12,1431,C1431CGK
-58.378577493662711,-34.617161610468784,4,Comisaria Vecinal 1-B,Tacuari,770,,TACUARI 770,4331-9643 /4342-3333,,,MONSERRAT,1,1071,C1071AAP
-58.476336706506359,-34.641462310639,20,Comisaria Vecinal 9-B,Remedios,3748,,REMEDIOS 3748,4672-1824/ 4674-3111,,,PARQUE AVELLANEDA,9,1407,C1407HJJ
-58.472991143527551,-34.611120412457304,21,Comisaria Comunal 11,Bufano Alfredo R.,1800,,"BUFANO, ALFREDO R. 1800",4581-3155/ 4582-3333/4585-5458,,,VILLA GRAL. MITRE,11,1416,C1416AJL
-58.501165657356765,-34.661993931226831,22,Comisaria Comunal 9,Lisandro de la Torre,2343,,"DE LA TORRE, LISANDRO AV. 2343",4687-3333/6478,,,MATADEROS,9,1440,C1440ECL
-58.483779508298703,-34.628806685374677,23,Comisaria Comunal 10,Chivilicoy,453,,CHIVILCOY 453,4671-2209/4444,,,FLORESTA,10,,
-58.524038849047407,-34.629536123433425,50,Comisaria Vecinal 10-B,Manuel Porcel de Peralta,726,,"PORCEL DE PERALTA, MANUEL 726",4641-3333/3827/4642-7777,,,VERSALLES,10,1408,C1408CBJ
-58.515605877471778,-34.598314648539677,27,Comisaria Vecinal 11-B,Jose Cubas,4154,,"CUBAS, JOSE 4154",4501-3333/4111/ 4503-9603/ 4504-3333/5555,,,VILLA DEVOTO,11,1419,C1419GOH
-58.499367255481999,-34.589712834957723,24,Comisaria Vecinal 11-B (edificio anexo),Nazca,4254,,NAZCA 4254,4572-3333/3526,"Ubicada en comuna 12, dependencia comuna 11",,VILLA PUEYRREDON,12,1419,C1419DFS
-58.474888855290772,-34.679035019327983,25,Comisaria Vecinal 8-A,Leguizamon Martiniano,4347,,"LEGUIZAMON, MARTINIANO 4347",4601-3333/ 4602-3333,,,VILLA LUGANO,8,1439,C1439FSE
-58.482525446886825,-34.565145098017027,26,Comisaria Vecinal 12-A,Machain,3045,,MACHAIN 3045,4541-8142,,,VILLA URQUIZA,12,1430,C1430DYA
-58.394789124657244,-34.603418415535614,5,Comisaria Comunal 3,Lavalle,1958,,LAVALLE 1958,4953-2273/3323,,,BALVANERA,3,1051,C1051ABD
-58.464820921530752,-34.616113715966975,51,Comisaria Vecinal 7-C,Gaona,2738,,GAONA AV. 2738,4581-1254/4444,,,FLORES,7,1416,C1416DSP
-58.444068027691543,-34.554821646901239,52,Comisaria Comunal 13,Artilleros,2081,,ARTILLEROS 2081,4784-4047/9940,,,BELGRANO,13,1428,C1428AUE
-58.468943687822716,-34.683121229081834,44,Comisaria Comunal 8,Ana Diaz,0,Cafayate,DIAZ ANA Y CAFAYATE,4605-2031/2090,,,VILLA LUGANO,8,,
-58.413658918515395,-34.581269722933584,53,Comisaria Comunal 14,Republica Arabe Siria,2961,,REPUBLICA ARABE SIRIA 2961,4801-3332/4805-7928/4806-1666,,,PALERMO,14,1425,C1425EYI
-58.505086527128014,-34.63996692356713,54,Comisaria Vecinal 10-C,Basualdo,165,,BASUALDO 165,4635-2011,,,VILLA LURO,10,1408,C1408HUC
-58.404010640943007,-34.603211175752499,6,Comisaria Vecinal 3-A,Lavalle,2625,,LAVALLE 2625,4961-3333/7342 / 4964-3421,,,BALVANERA,3,1052,C1052AAG
-58.409279648726304,-34.617057605942421,35,Comisaria Vecinal 3-A (edificio anexo),Urquiza Gral.,544,,"URQUIZA, Gral. 544",4923-3171 / 4931-3333 /3531,,,BALVANERA,3,1221,C1221ADB
-58.415558763467757,-34.604428600364265,7,Comisaria Comunal 5,Billinghurst,471,,BILLINGHURST 471,4861-5507 /4862-3333,,,ALMAGRO,5,1174,C1174ABG
-58.490909236863672,-34.551103084235464,56,Comisaria Comunal 12,Ramallo,4398,,RAMALLO 4398,4546-5600,Esta comisaria cuenta con una dependencia del Ministerio Publico Fiscal,,SAAVEDRA,12,1430,C1430CQD
-58.451230393282835,-34.590420189796575,57,Comisaria Comunal 15,Guzman,396,,GUZMAN 396,4309-9615,Esta comisaria cuenta con una dependencia del Ministerio Publico Fiscal,,CHACARITA,15,1427,C1427BOQ
-58.40283020899448,-34.641949534782775,55,Comisaria Comunal 4,Zavaleta,425,,ZAVALETA 425,5091-6100,Esta comisaria cuenta con una dependencia del Ministerio Publico Fiscal,,PARQUE PATRICIOS,4,1437,C1437EYI
